,Open,High,Low,Close,TotalVolume
2017-05-15,370.5,371.75,367.25,367.5,109353
2017-05-16,367.25,368.75,365.25,367.0,104377
2017-05-17,367.0,372.25,366.25,371.75,133085
2017-05-18,371.5,371.5,364.25,365.75,184713
2017-05-19,366.0,373.0,366.0,372.25,190604
2017-05-22,372.75,377.5,371.75,375.25,159786
2017-05-23,374.75,375.75,369.0,370.0,168280
2017-05-24,370.0,371.5,368.75,370.5,90276
2017-05-25,371.0,373.0,368.75,369.25,99871
2017-05-26,369.25,374.75,368.75,373.75,113508
2017-05-30,373.5,373.75,366.25,366.75,190405
2017-05-31,370.25,376.5,369.0,371.5,243760
2017-06-01,371.5,373.75,367.5,370.75,161024
2017-06-02,370.5,374.75,369.5,372.0,114081
2017-06-05,373.75,375.5,372.0,373.0,176356
2017-06-06,372.0,379.75,371.25,378.5,238289
2017-06-07,378.25,387.0,378.25,385.0,482660
2017-06-08,385.0,391.75,384.25,384.25,369166
2017-06-09,384.25,389.5,380.75,388.0,240586
2017-06-12,386.0,387.25,376.25,376.75,333135
2017-06-13,379.25,383.75,377.5,381.25,213047
2017-06-14,381.0,385.0,376.75,376.75,183900
2017-06-15,376.75,382.0,370.0,378.25,253445
2017-06-16,378.75,384.5,377.0,384.25,194053
2017-06-19,378.25,381.5,375.25,375.5,215498
2017-06-20,376.25,377.5,369.25,369.5,182300
2017-06-21,369.5,373.5,368.25,369.5,143466
2017-06-22,368.75,369.25,362.5,362.75,161284
2017-06-23,362.75,364.75,356.5,359.0,224281
2017-06-26,358.5,361.75,357.25,360.0,184341
2017-06-27,361.25,364.25,359.25,359.25,188447
2017-06-28,368.25,369.0,366.0,366.5,214378
2017-06-29,366.25,372.0,365.75,369.25,231120
2017-06-30,370.0,383.0,369.5,380.0,254967
2017-07-03,384.0,396.0,383.25,385.0,185528
2017-07-05,390.0,394.25,385.25,392.25,169799
2017-07-06,390.25,391.5,382.0,391.0,157781
2017-07-07,389.5,397.0,388.25,391.75,167381
2017-07-10,397.0,402.5,396.5,402.25,212290
2017-07-11,403.0,404.75,394.5,401.0,161751
2017-07-12,400.0,400.75,384.5,385.5,195334
2017-07-13,385.0,385.25,368.5,370.75,209848
2017-07-14,370.25,378.5,370.0,377.0,138298
2017-07-17,375.75,378.75,370.5,376.25,102548
2017-07-18,380.75,388.75,375.25,377.0,140024
2017-07-19,376.5,389.0,374.25,383.25,128371
2017-07-20,382.5,393.25,380.5,390.75,131810
2017-07-21,390.5,391.0,378.5,380.0,130233
2017-07-24,375.5,377.5,371.0,376.5,112934
